date,a2c,ddpg,ppo,td3,sac,mvo,dji
2022-04-27,850850.2998692932,950476.8747552414,958108.9755218737,939166.9523308487,897577.2143543246,906535.9359722128,910260.3631099691
2022-04-28,862467.2715642395,964740.4807885666,974318.6621211779,948148.7796776504,916082.747439194,934904.1347060518,927055.7435193491
2022-04-29,836397.3928868714,939435.1661447068,951843.5323175509,926559.4221909256,880975.6547000888,906336.2570090494,901384.6089086639
2022-05-02,839631.7113683167,935668.1587975998,953081.5544286234,933112.9181359024,886579.5570514682,908140.8754238684,903688.5548363185
2022-05-03,844698.8294866028,939066.3899606247,957957.4273646204,934773.0636894912,891637.5517223361,903917.263129381,905527.8302126607
2022-05-04,866908.741657013,965087.2039636155,989239.0652670251,962567.7630264969,917194.7514636996,926339.6273398742,931010.0899110183
2022-05-05,839174.7118260803,934536.5818704148,957334.0288288614,938959.7313378067,883680.0408199313,890886.8554577569,901952.053652502
2022-05-06,836336.7244450989,932395.9686578293,954842.9169955332,939361.539183876,878541.1005199435,893487.0107790125,899256.9644548896
2022-05-09,826754.7934606018,916112.390700676,931233.0765263407,921106.1646530838,851072.9606922152,873618.3927803317,881389.835085688
2022-05-10,822591.9303319397,917615.592994072,929026.3939777834,919202.6523239822,851195.1412685397,880841.1695989207,879067.5756715995
2022-05-11,810586.4848973694,906022.8662026902,919685.0904572794,912215.7866814346,839687.9252384189,852585.0339696417,870139.6143671761
2022-05-12,812331.2752110901,901232.7683709641,912969.3756397745,912258.9351532669,836248.612585831,839001.9309763697,867302.1173123674
2022-05-13,822993.0649602356,913023.2662728806,924656.4889305002,921132.9056580276,852039.5068462375,856523.1730298352,880049.3972129608
2022-05-16,821134.538532013,914097.7151101609,926921.3092392465,925754.5066445083,850853.8520343783,857141.1673233771,880780.8433278502
2022-05-17,834176.1760289612,927698.2587350388,948698.278478016,937123.8703530044,873149.677416611,867995.6646502586,892566.2551872268
2022-05-18,808407.2958714905,900275.9500955124,919879.3862161905,906275.0676834793,842668.6574657443,819513.1108499325,860735.7757510853
2022-05-19,804797.6748540344,891126.1988519211,906470.9852348291,895608.0487396927,839711.7486866,804478.9469323119,854259.3616082631
2022-05-20,804502.0223882141,891949.9937432786,896896.5953053514,892557.4213593216,832526.01872139,804641.846250732,854499.0769456166
2022-05-23,819110.6566502991,913487.8361505051,924762.2873667948,912072.8687088699,848177.2062480929,829724.3555959794,871400.5115749435
2022-05-24,820205.0374181214,913770.1025842209,922521.7323635867,918554.4343750686,842942.8727443698,829224.7091569221,872722.909296855
2022-05-25,824623.5165288391,919232.1826547165,928061.5833013154,924303.0481407852,851116.049254227,826664.0012035496,877961.6597594756
2022-05-26,838568.2841985169,929893.0395425339,941518.8598763429,936285.3750794143,867162.2893436435,838796.7061620537,892090.6512111775
2022-05-27,852638.0005223694,946587.8461373826,963837.5880387576,952632.2940132827,885106.2233074191,861612.0351862378,907828.4961128942
2022-05-31,849211.9814336243,941226.8319314499,961497.3386026765,949307.5655472488,883638.1843441012,856984.5717436416,901737.485192043
2022-06-01,845335.2393834534,943171.6589272995,957750.776571747,944651.5883324356,879294.356020737,852212.251695836,896902.4514378275
2022-06-02,859669.8760716858,953881.9557641526,968087.3608207246,950888.5041611404,895418.7128208163,862469.861531509,908793.9175171504
2022-06-03,850689.2364842835,945137.0114053269,956010.8180503389,946081.9064705581,885353.658678818,844189.1032203725,899265.9845302972
2022-06-06,849488.2791631165,942495.3571237107,959788.518199875,944164.251029274,888236.8028209689,843291.285246972,899705.5082047153
